Comment.ENA_SAMPLE.	Characteristics.individual.	Comment.FASTQ_URI.
ERS4562197	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/006/ERR4148306/ERR4148306_1.fastq.gz
ERS4562197	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/006/ERR4148306/ERR4148306_2.fastq.gz
ERS4562198	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/007/ERR4148307/ERR4148307_1.fastq.gz
ERS4562198	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/007/ERR4148307/ERR4148307_2.fastq.gz
ERS4562199	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/008/ERR4148308/ERR4148308_1.fastq.gz
ERS4562199	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/008/ERR4148308/ERR4148308_2.fastq.gz
ERS4562200	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/009/ERR4148309/ERR4148309_1.fastq.gz
ERS4562200	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/009/ERR4148309/ERR4148309_2.fastq.gz
ERS4562201	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/000/ERR4148310/ERR4148310_1.fastq.gz
ERS4562201	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/000/ERR4148310/ERR4148310_2.fastq.gz
ERS4562202	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/001/ERR4148311/ERR4148311_1.fastq.gz
ERS4562202	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/001/ERR4148311/ERR4148311_2.fastq.gz
ERS4562203	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/002/ERR4148312/ERR4148312_1.fastq.gz
ERS4562203	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/002/ERR4148312/ERR4148312_2.fastq.gz
ERS4562204	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/003/ERR4148313/ERR4148313_1.fastq.gz
ERS4562204	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/003/ERR4148313/ERR4148313_2.fastq.gz
ERS4562206	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/005/ERR4148315/ERR4148315_1.fastq.gz
ERS4562206	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/005/ERR4148315/ERR4148315_2.fastq.gz
ERS4562207	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/006/ERR4148316/ERR4148316_1.fastq.gz
ERS4562207	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/006/ERR4148316/ERR4148316_2.fastq.gz
ERS4562209	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/008/ERR4148318/ERR4148318_1.fastq.gz
ERS4562209	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/008/ERR4148318/ERR4148318_2.fastq.gz
ERS4562210	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/009/ERR4148319/ERR4148319_1.fastq.gz
ERS4562210	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/009/ERR4148319/ERR4148319_2.fastq.gz
ERS4562211	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/000/ERR4148320/ERR4148320_1.fastq.gz
ERS4562211	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/000/ERR4148320/ERR4148320_2.fastq.gz
ERS4562213	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/002/ERR4148322/ERR4148322_1.fastq.gz
ERS4562213	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/002/ERR4148322/ERR4148322_2.fastq.gz
ERS4562214	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/003/ERR4148323/ERR4148323_1.fastq.gz
ERS4562214	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/003/ERR4148323/ERR4148323_2.fastq.gz
ERS4562215	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/004/ERR4148324/ERR4148324_1.fastq.gz
ERS4562215	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/004/ERR4148324/ERR4148324_2.fastq.gz
ERS4562216	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/005/ERR4148325/ERR4148325_1.fastq.gz
ERS4562216	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/005/ERR4148325/ERR4148325_2.fastq.gz
ERS4562217	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/006/ERR4148326/ERR4148326_1.fastq.gz
ERS4562217	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/006/ERR4148326/ERR4148326_2.fastq.gz
ERS4562218	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/007/ERR4148327/ERR4148327_1.fastq.gz
ERS4562218	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/007/ERR4148327/ERR4148327_2.fastq.gz
ERS4562219	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/008/ERR4148328/ERR4148328_1.fastq.gz
ERS4562219	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/008/ERR4148328/ERR4148328_2.fastq.gz
ERS4562220	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/009/ERR4148329/ERR4148329_1.fastq.gz
ERS4562220	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/009/ERR4148329/ERR4148329_2.fastq.gz
ERS4562221	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/000/ERR4148330/ERR4148330_1.fastq.gz
ERS4562221	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/000/ERR4148330/ERR4148330_2.fastq.gz
ERS4562222	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/001/ERR4148331/ERR4148331_1.fastq.gz
ERS4562222	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/001/ERR4148331/ERR4148331_2.fastq.gz
ERS4562223	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/002/ERR4148332/ERR4148332_1.fastq.gz
ERS4562223	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/002/ERR4148332/ERR4148332_2.fastq.gz
ERS4562224	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/003/ERR4148333/ERR4148333_1.fastq.gz
ERS4562224	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/003/ERR4148333/ERR4148333_2.fastq.gz
ERS4562225	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/004/ERR4148334/ERR4148334_1.fastq.gz
ERS4562225	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/004/ERR4148334/ERR4148334_2.fastq.gz
ERS4562226	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/005/ERR4148335/ERR4148335_1.fastq.gz
ERS4562226	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/005/ERR4148335/ERR4148335_2.fastq.gz
ERS4562227	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/006/ERR4148336/ERR4148336_1.fastq.gz
ERS4562227	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/006/ERR4148336/ERR4148336_2.fastq.gz
ERS4562228	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/007/ERR4148337/ERR4148337_1.fastq.gz
ERS4562228	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/007/ERR4148337/ERR4148337_2.fastq.gz
ERS4562229	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/008/ERR4148338/ERR4148338_1.fastq.gz
ERS4562229	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/008/ERR4148338/ERR4148338_2.fastq.gz
ERS4562230	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/009/ERR4148339/ERR4148339_1.fastq.gz
ERS4562230	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/009/ERR4148339/ERR4148339_2.fastq.gz
ERS4562231	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/000/ERR4148340/ERR4148340_1.fastq.gz
ERS4562231	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/000/ERR4148340/ERR4148340_2.fastq.gz
ERS4562232	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/001/ERR4148341/ERR4148341_1.fastq.gz
ERS4562232	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/001/ERR4148341/ERR4148341_2.fastq.gz
ERS4562233	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/002/ERR4148342/ERR4148342_1.fastq.gz
ERS4562233	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/002/ERR4148342/ERR4148342_2.fastq.gz
ERS4562234	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/003/ERR4148343/ERR4148343_1.fastq.gz
ERS4562234	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/003/ERR4148343/ERR4148343_2.fastq.gz
ERS4562235	Sample1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/004/ERR4148344/ERR4148344_1.fastq.gz
